WKT,name,description
"POINT (-83.8216252 39.4202483)",KILN,Wilmington
"POINT (-81.8597925 41.4131691)",KCLE,Cleveland
"POINT (-86.2803709 39.7075098)",KIND,Indianapolis
"POINT (-87.7246246 38.2603892)",KVWX,Evansville
"POINT (-85.7000572 41.358653)",KIWX,North Webster
"POINT (-89.3368728 40.1505565)",KILX,Lincoln
"POINT (-88.0844909 41.604479)",KLOT,Chicago
"POINT (-88.5505318 42.9678224)",KMKX,Milwaukee
"POINT (-91.1912646 43.822778)",KARX,LaCrosse
"POINT (-88.1112735 44.4986306)",KGRB,Green Bay
"POINT (-90.5809055 41.6115621)",KDVN,Quad Cities
"POINT (-93.7229163 41.7312551)",KDMX,Des Moines
"POINT (-85.5449227 42.8938938)",KGRR,Grand Rapids
"POINT (-84.7198735 44.9071268)",KAPX,Gaylord
Note: Gray radome
"POINT (-87.5485067 46.5311328)",KMQT,Marquette
"POINT (-83.4717998 42.6999934)",KDTX,Detroit
"POINT (-94.2645128 38.8102488)",KEAX,Kansas City
"POINT (-93.4004338 37.2352644)",KSGF,Springfield
"POINT (-90.6828761 38.6987701)",KLSX,St. Louis
"POINT (-89.8734055 35.3447775)",KNQA,Memphis
"POINT (-86.5625208 36.2472302)",KOHX,Nashville
Note: Gray radome
"POINT (-83.4017434 36.1685212)",KMRX,Knoxville
"POINT (-88.7720683 37.068364)",KPAH,Paducah
"POINT (-87.2856182 36.7369864)",KHPX,Fort Campbell
"POINT (-85.9438099 37.9753089)",KLVX,Louisville
"POINT (-83.3130861 37.5908199)",KJKL,Jackson
"POINT (-92.262137 34.8365406)",KLZK,Little Rock
"POINT (-94.3619103 35.2904651)",KSRX,Fort Smith
"POINT (-88.3293025 33.8969382)",KGWX,Columbus AFB
"POINT (-89.984478 32.2797988)",KDGX,Jackson
Note: Water tower ~1300 feet to the southwest causes significant beam blockage
"POINT (-93.8412736 32.450816)",KSHV,Shreveport
"POINT (-92.9761033 31.1557549)",KPOE,Fort Johnson
"POINT (-93.2158745 30.1253181)",KLCH,Lake Charles
Note: Radar replaced following damage from Hurricane Laura in 2020
"POINT (-89.8254992 30.3367319)",KLIX,New Orleans
Note: Taken offline in late 2023 for relocation to a new site at the Hammond, LA airport; re-identified as KHDC

"POINT (-86.0835076 34.9305504)",KHTX,Huntsville-Hytop
"POINT (-86.7697659 33.1721881)",KBMX,Birmingham
"POINT (-85.7897172 32.5366768)",KMXX,Montgomery-Maxwell AFB
"POINT (-85.4593866 31.4605484)",KEOX,Fort Novosel
"POINT (-88.2397869 30.679522)",KMOB,Mobile
"POINT (-97.4602746 35.2383346)",KCRI,Non-operational NWS Radar Operations Center testbed radar
"POINT (-97.4623568 35.2360775)",KOUN,Non-operational NWS Radar Operations Center testbed radar
"POINT (-84.5659348 33.363561)",KFFC,Atlanta
"POINT (-83.3507988 32.6756362)",KJGX,Robbins AFB
"POINT (-83.0016989 30.8902913)",KVAX,Moody AFB
"POINT (-98.9767111 34.3621826)",KFDR,Frederick
"POINT (-98.1277657 36.740569)",KVNX,Vance AFB
"POINT (-97.277861 35.3333792)",KTLX,Oklahoma City
"POINT (-95.5641296 36.1750963)",KINX,Tulsa
"POINT (-82.2198755 34.8832803)",KGSP,Greenville-Spartanburg
"POINT (-81.118314 33.9487438)",KCAE,Columbia
"POINT (-81.0422568 32.6554614)",KCLX,Charleston
"POINT (-78.4898037 35.6654951)",KRAX,Raleigh-Durham
Note: Gray radome
"POINT (-76.8761807 34.7759546)",KMHX,Morehead City
"POINT (-78.4291204 33.9891182)",KLTX,Wilmington
"POINT (-77.0073463 36.9840495)",KAKQ,Norfolk-Richmond
"POINT (-80.2739195 37.0244278)",KFCX,Roanoke
"POINT (-77.487592 38.9762555)",KLWX,Sterling
"POINT (-81.7229148 38.3110966)",KRLX,Charleston
"POINT (-85.9216327 30.5650139)",KEVX,Eglin AFB
"POINT (-84.3289426 30.3975562)",KTLH,Tallahassee
"POINT (-81.7018976 30.484615)",KJAX,Jacksonville
"POINT (-82.4017704 27.7054446)",KTBW,Tampa Bay
"POINT (-80.6540922 28.1131254)",KMLB,Melbourne
"POINT (-80.4127817 25.6110742)",KAMX,Miami
"POINT (-81.7031875 24.5974981)",KBYX,Key West
"POINT (-75.440106 38.8257803)",KDOX,Dover AFB
"POINT (-101.709289 35.2334475)",KAMA,Amarillo
"POINT (-101.8141574 33.6541119)",KLBB,Lubbock
"POINT (-102.1892526 31.9434111)",KMAF,Odessa
"POINT (-100.4925707 31.3712694)",KSJT,San Angelo
"POINT (-100.28038 29.2730447)",KDFX,Laughlin AFB
"POINT (-99.2542646 32.5386081)",KDYX,Dyess AFB
"POINT (-97.418938 25.9160245)",KBRO,Brownsville
"POINT (-97.5112475 27.7840535)",KCRP,Corpus Christi
"POINT (-98.0285633 29.7039499)",KEWX,Austin-San Antonio
"POINT (-97.3829875 30.7217724)",KGRK,Fort Cavazos
"POINT (-97.3032299 32.5730124)",KFWS,Dallas-Fort Worth
"POINT (-95.0787289 29.4719052)",KHGX,Houston
"POINT (-80.2179334 40.5316997)",KPBZ,Pittsburgh
"POINT (-78.0037423 40.9231826)",KCCX,State College
"POINT (-74.4107261 39.947037)",KDIX,Mt. Holly
"POINT (-72.863881 40.8655502)",KOKX,New York City
"POINT (-74.0640142 42.5865358)",KENX,Albany
Note: Gray radome
